,Start Time,End Time,Duration (seconds),Label,Confidence (Mean Method),Confidence (Median Method)
87,2014-10-19 22:09:54,2014-10-19 22:09:55,1.0,Magnetosheath,0.166488851312814,0.166488851312814
88,2014-10-19 22:09:55,2014-10-19 22:10:07,12.0,Magnetosheath,0.18750080979947503,0.20466786355475797
89,2014-10-19 22:10:07,2014-10-19 22:10:11,4.0,Magnetosphere,0.3279887026927647,0.302207130730051
90,2014-10-19 22:10:11,2014-10-19 22:10:14,3.0,Magnetosheath,0.1596362444708389,0.08582816781700142
91,2014-10-19 22:10:14,2014-10-19 22:10:36,22.0,Magnetosphere,0.13463744856844673,0.09885931558935357
92,2014-10-19 22:10:36,2014-10-19 22:10:37,1.0,Magnetosphere,0.10222079778748472,0.10222079778748472
93,2014-10-19 22:10:37,2014-10-19 22:10:51,14.0,Magnetosphere,0.13320770752977296,0.08061420345489478
94,2014-10-19 22:10:51,2014-10-19 22:10:53,2.0,Magnetosheath,0.10917380924425657,0.10606060606060619
95,2014-10-19 22:10:53,2014-10-19 22:11:10,17.0,Magnetosphere,0.14670161646470536,0.13270375649840682
96,2014-10-19 22:11:10,2014-10-19 22:11:11,1.0,Magnetosphere,0.10045747766729685,0.10045747766729685
97,2014-10-19 22:11:11,2014-10-19 22:11:12,1.0,Magnetosheath,0.09068732986432937,0.09068732986432937
98,2014-10-19 22:11:12,2014-10-19 22:11:15,3.0,Magnetosheath,0.07085436076774099,0.08437024290158202
99,2014-10-19 22:11:15,2014-10-19 22:11:23,8.0,Magnetosphere,0.12096052244667266,0.07692307692307676
100,2014-10-19 22:11:23,2014-10-19 22:11:28,5.0,Magnetosheath,0.047795040753716544,0.03920814766684999
101,2014-10-19 22:11:28,2014-10-19 22:11:32,4.0,Magnetosphere,0.1348710808097472,0.1292134831460675
102,2014-10-19 22:11:32,2014-10-19 22:11:37,5.0,Magnetosheath,0.04540599389993927,0.04975328947368407
103,2014-10-19 22:11:37,2014-10-19 22:11:38,1.0,Magnetosheath,0.025433507984031767,0.025433507984031767
104,2014-10-19 22:11:38,2014-10-19 22:11:43,5.0,Magnetosheath,0.15359806635723094,0.18004173152717529
105,2014-10-19 22:11:43,2014-10-19 22:11:44,1.0,Magnetosheath,0.04071324946076427,0.04071324946076427
106,2014-10-19 22:11:44,2014-10-19 22:11:46,2.0,Magnetosheath,0.04524216878217857,0.046875
107,2014-10-19 22:11:46,2014-10-19 22:11:53,7.0,Magnetosphere,0.1297912454185144,0.11424712071662169
108,2014-10-19 22:11:53,2014-10-19 22:12:00,7.0,Magnetosheath,0.06878650638994699,0.06575678668701923
109,2014-10-19 22:12:00,2014-10-19 22:12:06,6.0,Magnetosphere,0.05766018961978581,0.06201550387596899
110,2014-10-19 22:12:06,2014-10-19 22:12:08,2.0,Magnetosheath,0.028624120907629114,0.011928429423459397
111,2014-10-19 22:12:08,2014-10-19 22:12:14,6.0,Magnetosphere,0.1027317710566491,0.058252427184466105
112,2014-10-19 22:12:14,2014-10-19 22:12:16,2.0,Magnetosheath,0.028723446722922374,0.03149606299212582
113,2014-10-19 22:12:16,2014-10-19 22:12:18,2.0,Magnetosphere,0.05444042813980321,0.050682261208576995
114,2014-10-19 22:12:18,2014-10-19 22:12:19,1.0,Magnetosphere,0.04668871771981431,0.04668871771981431
115,2014-10-19 22:12:19,2014-10-19 22:12:21,2.0,Magnetosphere,0.0629425589637792,0.07692307692307698
116,2014-10-19 22:12:21,2014-10-19 22:12:27,6.0,Magnetosheath,0.14557343570474723,0.12030075187969891
117,2014-10-19 22:12:27,2014-10-19 22:12:28,1.0,Magnetosheath,0.09154049831188726,0.09154049831188726
118,2014-10-19 22:12:28,2014-10-19 22:12:31,3.0,Magnetosheath,0.1376549020052158,0.11853079025246749
119,2014-10-19 22:12:31,2014-10-19 22:12:35,4.0,Magnetosphere,0.03355583918991534,0.015873015873015928
120,2014-10-19 22:12:35,2014-10-19 22:12:37,2.0,Magnetosheath,0.023653906006847136,0.015873015873015928
121,2014-10-19 22:12:37,2014-10-19 22:12:38,1.0,Magnetosheath,0.05248985474267076,0.05248985474267076
122,2014-10-19 22:12:38,2014-10-19 22:12:59,21.0,Magnetosheath,0.24733782282328387,0.26539331792797993
123,2014-10-19 22:12:59,2014-10-19 22:13:00,1.0,Magnetosheath,0.0684382589202317,0.0684382589202317
124,2014-10-19 22:13:00,2014-10-19 22:13:01,1.0,Magnetosphere,0.017849339605928716,0.017849339605928716
125,2014-10-19 22:13:01,2014-10-19 22:13:03,2.0,Magnetosphere,0.06578848969099482,0.07528957528957536
126,2014-10-19 22:13:03,2014-10-19 22:13:43,40.0,Magnetosheath,0.2921954457583501,0.2716262975778546
127,2014-10-19 22:13:43,2014-10-19 22:13:44,1.0,Magnetosheath,0.42253312533322807,0.42253312533322807
128,2011-07-01 20:07:25,2011-07-01 20:07:32,7.0,Magnetosheath,0.26121820669256535,0.24592336643267776
129,2011-07-01 20:07:32,2011-07-01 20:08:43,71.0,Magnetosphere,0.6159974130479273,0.6538199904911678
130,2011-07-01 20:08:43,2011-07-01 20:08:51,8.0,Magnetosheath,0.2824014835773818,0.24
131,2011-07-01 20:08:51,2011-07-01 20:09:06,15.0,Magnetosphere,0.48308293161583327,0.5048951461956424
132,2011-07-01 20:09:06,2011-07-01 20:09:09,3.0,Magnetosheath,0.2049964559942803,0.23732526841867707
133,2011-07-01 20:09:09,2011-07-01 20:09:11,2.0,Magnetosphere,0.14810368781579075,0.13269230769230778
134,2011-07-01 20:09:11,2011-07-01 20:09:14,3.0,Magnetosheath,0.16504004487491752,0.16523709654485996
135,2011-07-01 20:09:14,2011-07-01 20:09:16,2.0,Magnetosphere,0.09317905102634683,0.08102766798418981
136,2011-12-01 21:12:21,2011-12-01 21:12:23,2.0,Magnetosphere,0.055121882727343974,0.06822612085769975
137,2011-12-01 21:12:23,2011-12-01 21:12:35,12.0,Magnetosheath,0.1820603218922271,0.2119565217391305
138,2011-12-01 21:12:35,2011-12-01 21:12:39,4.0,Magnetosphere,0.0520924430029821,0.03599999999999992
139,2011-12-01 21:12:39,2011-12-01 21:12:46,7.0,Magnetosheath,0.1552313216139518,0.15276333356756377
140,2011-12-01 21:12:46,2011-12-01 21:12:49,3.0,Magnetosphere,0.1313384637183329,0.14066184956595906
141,2011-12-01 21:12:49,2011-12-01 21:13:04,15.0,Magnetosheath,0.21186003207346005,0.23120439818358074
142,2011-12-01 21:13:04,2011-12-01 21:13:10,6.0,Magnetosphere,0.3044485473235915,0.27894736842105283
143,2011-12-01 21:13:10,2011-12-01 21:13:11,1.0,Magnetosphere,0.0509238332579971,0.0509238332579971
144,2011-12-01 21:13:11,2011-12-01 21:13:12,1.0,Magnetosheath,0.03822937625754541,0.03822937625754541
145,2011-12-01 21:13:12,2011-12-01 21:13:25,13.0,Magnetosheath,0.25427554527687535,0.278950479899847
146,2011-12-01 21:13:25,2011-12-01 21:13:31,6.0,Magnetosphere,0.01779216186390009,0.01814516129032273
147,2011-12-01 21:13:31,2011-12-01 21:13:33,2.0,Magnetosheath,0.04255102013767953,0.045816733067729265
148,2011-12-01 21:13:33,2011-12-01 21:13:34,1.0,Magnetosheath,0.08065059899395055,0.08065059899395055
149,2011-12-01 21:13:34,2011-12-01 21:13:36,2.0,Magnetosheath,0.07105361172862823,0.10172744721689087
150,2011-12-01 21:13:36,2011-12-01 21:13:42,6.0,Magnetosphere,0.11953155591558107,0.08333333333333326
151,2011-12-01 21:13:42,2011-12-01 21:13:51,9.0,Magnetosheath,0.14887098701993917,0.1493914771934719
152,2011-12-01 21:13:51,2011-12-01 21:13:54,3.0,Magnetosphere,0.05418364652111651,0.05316373124592322
153,2011-12-01 21:13:54,2011-12-01 21:14:20,26.0,Magnetosheath,0.2251849667889403,0.2644483362521892
154,2011-12-01 21:14:20,2011-12-01 21:14:27,7.0,Magnetosphere,0.09349835059427303,0.07467129277709628
155,2011-12-01 21:14:27,2011-12-01 21:14:35,8.0,Magnetosheath,0.17191790957393294,0.18032786885245877
156,2011-12-01 21:14:35,2011-12-01 21:14:37,2.0,Magnetosphere,0.05661762502335144,0.06078431372549031
157,2011-12-01 21:14:37,2011-12-01 21:14:38,1.0,Magnetosphere,0.06072483788035776,0.06072483788035776
158,2011-12-01 21:14:38,2011-12-01 21:14:44,6.0,Magnetosphere,0.0611365881411734,0.03585657370517936
159,2011-12-01 21:14:44,2011-12-01 21:14:45,1.0,Magnetosphere,0.01507640218822992,0.01507640218822992
160,2011-12-01 21:14:45,2011-12-01 21:14:51,6.0,Magnetosphere,0.05457820989881779,0.04365079365079383
161,2011-12-01 21:14:51,2011-12-01 21:14:53,2.0,Magnetosheath,0.0280850224449809,0.0080971659919028
162,2011-12-01 21:14:53,2011-12-01 21:14:54,1.0,Magnetosheath,0.02957253311363206,0.02957253311363206
163,2011-12-01 21:14:54,2011-12-01 21:15:06,12.0,Magnetosheath,0.16230603142998434,0.16697588126159546
164,2011-12-01 21:15:06,2011-12-01 21:15:09,3.0,Magnetosphere,0.013388403871975596,0.0050546028233655615
165,2011-12-01 21:15:09,2011-12-01 21:15:10,1.0,Magnetosphere,0.035650298215422316,0.035650298215422316
166,2011-12-01 21:15:10,2011-12-01 21:15:21,11.0,Magnetosphere,0.11631197086353884,0.1253634533661374
167,2011-12-01 21:15:21,2011-12-01 21:15:22,1.0,Magnetosphere,0.028871486527986656,0.028871486527986656
168,2011-12-01 21:15:22,2011-12-01 21:15:24,2.0,Magnetosphere,0.008143992451758897,0.010141987829614174
169,2011-12-01 21:15:24,2011-12-01 21:15:26,2.0,Magnetosheath,0.0523468525891726,0.0582329317269078
170,2011-12-01 21:15:26,2011-12-01 21:15:35,9.0,Magnetosphere,0.0888285515460725,0.06990674576244116
171,2011-12-01 21:15:35,2011-12-01 21:15:45,10.0,Magnetosheath,0.11280895280405001,0.10192307692307678
172,2011-12-01 21:15:45,2011-12-01 21:15:55,10.0,Magnetosphere,0.1216056692248777,0.1285988483685221
173,2011-12-01 21:15:55,2011-12-01 21:15:56,1.0,Magnetosphere,0.09401506769927825,0.09401506769927825
174,2011-12-01 21:15:56,2011-12-01 21:15:57,1.0,Magnetosheath,0.04800930338365461,0.04800930338365461
175,2011-12-01 21:15:57,2011-12-01 21:16:01,4.0,Magnetosheath,0.02147534375162352,0.01609657947686105
176,2011-12-01 21:16:01,2011-12-01 21:16:16,15.0,Magnetosphere,0.13244956940714858,0.12786835525439766
177,2011-12-01 21:16:16,2011-12-01 21:16:17,1.0,Magnetosphere,0.06665898529016401,0.06665898529016401
178,2011-12-01 21:16:17,2011-12-01 21:17:17,60.0,Magnetosphere,0.3604211523327919,0.3603305785123968
179,2011-12-01 21:17:17,2011-12-01 21:17:29,12.0,Magnetosheath,0.1278710300027477,0.10285714285714298
180,2011-12-01 21:17:29,2011-12-01 21:17:34,5.0,Magnetosphere,0.04986294439764605,0.026501331641300196
181,2011-12-01 21:17:34,2011-12-01 21:17:35,1.0,Magnetosphere,0.01760913548918064,0.01760913548918064
182,2011-12-01 21:17:35,2011-12-01 21:17:38,3.0,Magnetosphere,0.04620757092147798,0.0522167947355181
183,2011-12-01 21:17:38,2011-12-01 21:17:40,2.0,Magnetosheath,0.0729932035843257,0.06573705179282874
184,2011-12-01 21:17:40,2011-12-01 21:17:42,2.0,Magnetosphere,0.0198037850607774,0.018292682926829285
185,2011-12-01 21:17:42,2011-12-01 21:17:47,5.0,Magnetosheath,0.043402574887880685,0.022094548634729372
186,2011-12-01 21:17:47,2011-12-01 21:17:49,2.0,Magnetosphere,0.02775988442217725,0.035643564356435675
187,2011-12-01 21:17:49,2011-12-01 21:17:54,5.0,Magnetosheath,0.042110319146397956,0.04059405940594074
188,2011-12-01 21:17:54,2011-12-01 21:18:23,29.0,Magnetosphere,0.33142938084904683,0.37028448252189894
189,2011-12-01 21:18:23,2011-12-01 21:18:25,2.0,Magnetosheath,0.0740537187639404,0.06835937499999978
190,2011-12-01 21:18:25,2011-12-01 21:19:18,53.0,Magnetosphere,0.3043639512302546,0.33220147142048684
191,2011-12-01 21:19:18,2011-12-01 21:19:21,3.0,Magnetosheath,0.06657817982854164,0.07003891050583677
192,2011-12-01 21:19:21,2011-12-01 21:19:28,7.0,Magnetosphere,0.04355768131435023,0.035146842522103205
193,2011-12-01 21:19:28,2011-12-01 21:19:29,1.0,Magnetosphere,0.02644346199062808,0.02644346199062808
194,2011-12-01 21:19:29,2011-12-01 21:19:30,1.0,Magnetosheath,0.01731160896130335,0.01731160896130335
195,2011-12-01 21:19:30,2011-12-01 21:19:32,2.0,Magnetosheath,0.028063188764205216,0.014256619144602634
196,2011-12-01 21:19:32,2011-12-01 21:19:41,9.0,Magnetosphere,0.18970506289274292,0.16330702807800057
197,2011-12-01 21:19:41,2011-12-01 21:20:01,20.0,Magnetosheath,0.3911599248058355,0.4143556280587276
198,2011-12-01 21:20:01,2011-12-01 21:20:02,1.0,Magnetosheath,0.005095806143231352,0.005095806143231352
199,2011-12-01 21:20:02,2011-12-01 21:20:11,9.0,Magnetosheath,0.07131886406494858,0.05590698234833402
